Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
2526.0	2255			2343897943		Agent		Agent			
3041.0	1863			307982591		Agent		Agent			
68.0	29		delete	61023448		Agent		Agent			
330.0	158		delete	124224165		Agent		Agent			
13631.0	5201		delete	51241574		Agent		Agent			
3624.0	1516			230450027		Agent		Agent			
982.0	351		delete	15893354		Agent		Agent			
182.0	69		delete	286339472		Agent		Agent			
284.0	94		delete	89887215		Agent		Agent			
14891.0	7425		delete	822215679726100480		Agent		Agent			
17.0	7		delete	41416662		Agent		Agent			
15390.0	11919			50011708		Agent		Agent			
587.0	182		delete	14849562		Agent		Agent			
4703.0	1492		delete	15012486		Agent		Agent			
239.0	104		delete	115749048		Agent		Agent			
6063.0	2610			21252618		Agent		Agent			
365.0	103		delete	65905779		Agent		Agent			
9463.0	3170		delete	93069110		Agent		Agent			
221.0	73		delete	174338995		Agent		Agent			
471.0	192		delete	21111896		Agent		Agent			
60.0	30		delete	51205137		Agent		Agent			
1800.0	894		delete	17134268		Agent		Agent			
78.0	39		delete	36771809		Agent		Agent			
1874.0	920		delete	822215673812119553		Agent		Agent			
7743.0	3359			21316253		Agent		Agent			
366.0	140			24464743		Agent		Agent			
5095.0	2626		delete	818927131883356161		Agent		Agent			
3456.0	1789			47632905		Agent		Agent			
24.0	12		delete	100420381		Agent		Agent			
2127.0	855			237477771		Agent		Agent			
46.0	22		delete	404137465		Agent		Agent			
47.0	18		delete	12044602		Agent		Agent			
1448.0	936			5336752		Agent		Agent			
293.0	80		delete	14348157		Agent		Agent			
2097.0	648		delete	47455112		Agent		Agent			
6.0	2		delete	10454572		Agent		Agent			
40.0	20		delete	9830752		Agent		Agent			
135.0	60		delete	231510077		Agent		Agent			
642.0	285		delete	23022687		Agent		Agent			
70.0	34		delete	22162854		Agent		Agent			
1380.0	494			4119741		Agent		Agent			
2804.0	994			36890646		Agent		Agent			
1078.0	449			41704988		Agent		Agent			
2604.0	1229		delete	818910970567344128		Agent		Agent			
278.0	110		delete	358545917		Agent		Agent			
180.0	88		delete	803703725730779136		Agent		Agent			
4102.0	1334		delete	15433452		Agent		Agent			
4210.0	2850			58869089		Agent		Agent			
638.0	215		delete	436925910		Agent		Agent			
19599.0	9425		delete	25073877		Agent		Agent			
798.0	375		delete	52544275		Agent		Agent			
6627.0	5795			3066095122		Agent		Agent			
7967.0	6430			117082566		Agent		Agent			
73.0	37		delete	202200137		Agent		Agent			
1101.0	683		delete	26028938		Agent		Agent			
112.0	56		delete	17896154		Agent		Agent			
63.0	31		delete	35829796		Agent		Agent			
3941.0	1897		delete	18916432		Agent		Agent			
471.0	227		delete	829782369670410240		Agent		Agent			
2245.0	1086		delete	1209417007		Agent		Agent			
24.0	11		delete	2973870195		Agent		Agent			
101.0	45		delete	17918065		Agent		Agent			
10.0	5		delete	22915667		Agent		Agent			
56.0	27		delete	402957663		Agent		Agent			
152.0	81			857360184		Agent		Agent			
26.0	12		delete	15637375		Agent		Agent			
16.0	6		delete	253582818		Agent		Agent			
2.0	1		delete	73267118		Agent		Agent			
353.0	250			36129751		Agent		Agent			
1066.0	392		delete	42958829		Agent		Agent			
17.0	6		delete	24178302		Agent		Agent			
5461.0	4186			46176168		Agent		Agent			
66.0	25		delete	119829799		Agent		Agent			
551.0	267		delete	20776147		Agent		Agent			
190.0	92		delete	20733972		Agent		Agent			
6.0	2		delete	16503944		Agent		Agent			
102.0	57			58908090		Agent		Agent			
269.0	144			70709534		Agent		Agent			
104.0	51			21702539		Agent		Agent			
9.0	4		delete	21373560		Agent		Agent			
99.0	49		delete	23124635		Agent		Agent			
208.0	103		delete	246769138		Agent		Agent			
67.0	32			102238997		Agent		Agent			
85.0	37			178082389		Agent		Agent			
423.0	209			14153020		Agent		Agent			
139.0	61			39012674		Agent		Agent			
6.0	3		delete	22037861		Agent		Agent			
12238.0	2706		delete	1917731		Agent		Agent			
815.0	724		delete	15750667		Agent		Agent			
42.0	21		delete	29546945		Agent		Agent			
2200.0	1557			47598412		Agent		Agent			
3702.0	3099			212674482		Agent		Agent			
5.0	1		delete	91650974		Agent		Agent			
2.0	1		delete	26963424		Agent		Agent			
2.0	1		delete	62037775		Agent		Agent			
11963.0	7735		delete	15754281		Agent		Agent			
41.0	14		delete	16347506		Agent		Agent			
4.0	2		delete	278688737		Agent		Agent			
4.0	2		delete	1465030333		Agent		Agent			
6.0	2		delete	2235383382		Agent		Agent			
10673.0	3686		delete	807095		Agent		Agent			
5.0	1		delete	2459084797		Agent		Agent			
4.0	1		delete	189660705		Agent		Agent			
406.0	228			41882703		Agent		Agent			
392.0	150		delete	18018355		Agent		Agent			
114.0	53		delete	24164338		Agent		Agent			
109.0	57			50303740		Agent		Agent			
63.0	27		delete	72955560		Agent		Agent			
3281.0	1219			45399148		Agent		Agent			
1078.0	336			251983774		Agent		Agent			
67.0	30		delete	740031643273027584		Agent		Agent			
189.0	77		delete	69181624		Agent		Agent			
9660.0	3548		delete	759251		Agent		Agent			
44.0	21		delete	20259954		Agent		Agent			
71.0	26			246318153		Agent		Agent			
224.0	77		delete	121817564		Agent		Agent			
21.0	8			41278786		Agent		Agent			
2188.0	995			150686538		Agent		Agent			
904.0	634			48821786		Agent		Agent			
235.0	106		delete	10168082		Agent		Agent			
2.0	1		delete	21426656		Agent		Agent			
84.0	42		delete	58550415		Agent		Agent			
2.0	1		delete	128781736		Agent		Agent			
2111.0	1255		delete	9624742		Agent		Agent			
292.0	230			163083221		Agent		Agent			
1614.0	1161			25299244		Agent		Agent			
1324.0	613		delete	432895323		Agent		Agent			
4623.0	1657		delete	18956073		Agent		Agent			
113.0	42			183341278		Agent		Agent			
149.0	76			147666390		Agent		Agent			
17030.0	10450			16459325		Agent		Agent			
8453.0	4648			11771512		Agent		Agent			
88.0	53		delete	15387592		Agent		Agent			
11.0	4		delete	19032473		Agent		Agent			
4.0	2		delete	2934406383		Agent		Agent			
8.0	4		delete	18636001		Agent		Agent			
20.0	10		delete	2651848211		Agent		Agent			
41.0	21		delete	9979202		Agent		Agent			
732.0	585			261962339		Agent		Agent			
86.0	47		delete	257131725		Agent		Agent			
135.0	34		delete	36511031		Agent		Agent			
3041.0	2016			49031364		Agent		Agent			
316.0	111		delete	280664117		Agent		Agent			
621.0	200		delete	258885469		Agent		Agent			
2182.0	1350			769641584		Agent		Agent			
164.0	62		delete	162225194		Agent		Agent			
74.0	31		delete	258877940		Agent		Agent			
756.0	286		delete	65277959		Agent		Agent			
244.0	67		delete	16299754		Agent		Agent			
353.0	100		delete	218347440		Agent		Agent			
2263.0	1085			160547588		Agent		Agent			
6.0	3		delete	20634134		Agent		Agent			
5460.0	3761			23911915		Agent		Agent			
11411.0	3692		delete	2467791		Agent		Agent			
6.0	3		delete	16449615		Agent		Agent			
462.0	184		delete	120180668		Agent		Agent			
99.0	41		delete	19867003		Agent		Agent			
2068.0	1430			88750092		Agent		Agent			
1137.0	402		delete	21688902		Agent		Agent			
246.0	104		delete	2417586104		Agent		Agent			
3538.0	2064			27058591		Agent		Agent			
23038.0	14599			19576571		Agent		Agent			
6922.0	3654			70511174		Agent		Agent			
3212.0	1135		delete	14515799		Agent		Agent			
5463.0	1994			19107878		Agent		Agent			
46.0	13		delete	49586895		Agent		Agent			
127.0	65			227037531		Agent		Agent			
110.0	48			19932600		Agent		Agent			
857.0	297		delete	2347049341		Agent		Agent			
211.0	84		delete	30550346		Agent		Agent			
753.0	367			57072084		Agent		Agent			
150.0	74		delete	22536055		Agent		Agent			
2.0	1		delete	135367057		Agent		Agent			
2.0	1		delete	66185093		Agent		Agent			
2.0	1		delete	33508506		Agent		Agent			
